22,Fix electrical outlet,I have a broken outlet that needs to be fixed. Please help!,68,"Alameda, CA",House Fix-Up,2018-03-13 02:57:46,2018-03-13 02:57:47
23,Install wood flooring,I have a 240 SQFT room that is full of carpet which needs to be removed and replaced with real wood. Please help!,68,"Mountain View, CA",House Fix-Up,2018-03-13 02:57:46,2018-03-13 02:57:47
24,Fix shower head,My shower head has been broken and needs to be replaced. Please find someone who can do this.,68,"San Francisco, CA",House Fix-Up,2018-03-13 02:57:46,2018-03-13 02:57:47
25,Broken mirror,I have bad luck. My mirror is broken and needs to be replaced. Please help!,68,"Sausalito, CA",House Fix-Up,2018-03-13 02:57:46,2018-03-13 02:57:47
26,Fix treadmill,Treadmill is broken - need handyperson to fix it.,68,"Pacifica, CA",House Fix-Up,2018-03-13 02:57:46,2018-03-13 02:57:47
27,Moving 2BR in South Bay,I'm moving from San Jose to SF. Can you load up my apt into the UHaul and unpack?,68,"San Jose, CA",Moving,2018-03-13 02:57:46,2018-03-13 02:57:47
28,Full house move,This is a big project - needs help moving 5 BRs of stuff from San Jose to Pacifica.,68,"Milpitas, CA",Moving,2018-03-13 02:57:46,2018-03-13 02:57:47
29,Moving into first apt,"I don't have much stuff (1BR), but can't fit furniture into car. If you have a pickup truck that should be enough.",68,"Castro Valley, CA",Moving,2018-03-13 02:57:46,2018-03-13 02:57:47
30,Moving 3BR condo,"A fair amount of stuff needs to get moved. Need someone to rent a UHaul, load and unload boxes into UHaul.",68,"Pinol, CA",Moving,2018-03-13 02:57:46,2018-03-13 02:57:47
31,Moving furniture to trash dump,I have a couch that needs to go to the dump. Please help me do this.,68,"Vallejo, CA",Moving,2018-03-13 02:57:46,2018-03-13 02:57:47
32,Please assemble couch,New couch from IKEA that takes a while to put together. I'm busy - can you help!,68,"Alameda, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
33,Needs help setting up bed,Very complicated IKEA bed that I don't want to assemble by myself.,68,"Mountain View, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
34,Need help setting up table ,Kitchen set table needs assembly. Ping me for more information.,68,"San Francisco, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
35,Various IKEA furniture setup,"I have 5 items for the living room that need to be assembled: couch, bed, 2 dressers, and file cabinet. ",68,"Sausalito, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
36,Need help with IKEA couch shipping,I have 2 items for the bed room that need to be assembled: dresser and bed.,68,"Pacifica, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
37,Need to assemble dining table set,Need to assemble outdoor set (table and five chairs). Please help!,68,"San Jose, CA",Furniture Assembly,2018-03-13 02:57:46,2018-03-13 02:57:47
38,Lots of dirty dishes,Need someone to spend an afternoon cleaning 45+ dishes. At least three loads of dishes.,68,"Milpitas, CA",House Cleaning,2018-03-13 02:57:46,2018-03-13 02:57:47
39,Need help washing carpets,Two bedrooms of carpeting with stains need deep cleaning.,68,"Castro Valley, CA",House Cleaning,2018-03-13 02:57:46,2018-03-13 02:57:47
40,Need vacuming and floor cleaning,Need someone to vacuum carpet in my house and clean kitchen floor.,68,"Pinol, CA",House Cleaning,2018-03-13 02:57:46,2018-03-13 02:57:47
41,Please organze my closets,Lots of clothes that need to be put into boxes and dressers.,68,"Vallejo, CA",House Cleaning,2018-03-13 02:57:46,2018-03-13 02:57:47
42,Steam carpet cleaning,Need someone with a steamer to clean 4 rooms of carpeting.,68,"Alameda, CA",House Cleaning,2018-03-13 02:57:46,2018-03-13 02:57:47
43,Cutting a small lawn,I don't have a lawn mover but need a small lawn to get cleaned.,68,"Mountain View, CA",Yard Work,2018-03-13 02:57:46,2018-03-13 02:57:47
44,Pull all the weeds in the yard,Please try to pull a small lawn's worth of weeds.,68,"San Francisco, CA",Yard Work,2018-03-13 02:57:46,2018-03-13 02:57:47
45,Plant flowers ,Want to plant about 15 flower arrangements in back yard.,68,"Sausalito, CA",Yard Work,2018-03-13 02:57:46,2018-03-13 02:57:47
46,Cut & remove tree,Need help cutting down and removing medium size tree,68,"Pacifica, CA",Yard Work,2018-03-13 02:57:46,2018-03-13 02:57:47
47,Fix fence,Missing 5-6 planks in backyard fence. Need someone to fix & paint it.,68,"San Jose, CA",Yard Work,2018-03-13 02:57:46,2018-03-13 02:57:47
48,Install new refridgerator,Had a new fridge delivered but have no idea how to do it. Do you?,68,"Milpitas, CA",Installation,2018-03-13 02:57:46,2018-03-13 02:57:47
49,Please install home electronics,I have several speakers that need to be connected in living room ,68,"Castro Valley, CA",Installation,2018-03-13 02:57:46,2018-03-13 02:57:47
50,Needs to set up music studio,Need professional who understand music studios to get my home studio set up.,68,"Pinol, CA",Installation,2018-03-13 02:57:46,2018-03-13 02:57:47
51,Google Nest setup,Not sure how to do this - want to install new Google Nest gear in my house properly.,68,"Vallejo, CA",Installation,2018-03-13 02:57:46,2018-03-13 02:57:47
52,Home video camera setup,"Need help setting up cameras (2 inside, 2 outside). Need help with wiring and installation into walls, etc.",68,"Alameda, CA",Installation,2018-03-13 02:57:46,2018-03-13 02:57:47
53,Please feed cats next week,My cats need food and litter change - three days next week.,68,"Mountain View, CA",Pet Sitting,2018-03-13 02:57:46,2018-03-13 02:57:47
54,Please feed pet iguana,Iguana needs live crickets once a day. Need someone who is familar with this.,68,"San Francisco, CA",Pet Sitting,2018-03-13 02:57:46,2018-03-13 02:57:47
